model,dataset,sampling_method,over_sampling_ratio,under_sampling_ratio,train_positive_count,train_negative_count,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,pr_auc
XGBoost,Test,HybridSampling,0.7,1.0,482578,482578,1.0,0.7378926210737893,0.033129249145475714,0.6523668639053254,0.06305630026809651,0.7530356679389439,0.051582186374573714
XGBoost,Test,HybridSampling,0.5,0.7,344699,492427,1.4285710141311696,0.7400525994740053,0.0330819659706696,0.6457100591715976,0.06293933167513788,0.754580623123727,0.04985838658948227
XGBoost,Test,HybridSampling,0.1,0.2,68939,344695,5.0,0.7442725572744272,0.03192517296022881,0.6109467455621301,0.060679522497704315,0.7482153156901215,0.04874135023181258
XGBoost,Test,HybridSampling,0.2,0.3,137879,459596,3.333328498175937,0.7403625963740362,0.03251785442941802,0.6331360946745562,0.061858650093944215,0.7511316720251544,0.04873464850102484
XGBoost,Test,HybridSampling,0.3,0.5,206819,413638,2.0,0.7369726302736973,0.032455121238241576,0.6405325443786982,0.06177991795969324,0.7559998186445627,0.04839658535509022
XGBoost,Test,HybridSampling,0.05,0.1,34469,344690,10.0,0.7543124568754312,0.03321404157786803,0.6109467455621301,0.06300293657755235,0.7474246335747428,0.04663715402526443
Logistic Regression,Test,HybridSampling,0.7,1.0,482578,482578,1.0,0.6985030149698503,0.0263798434313532,0.5931952662721893,0.05051332115638975,0.6921670458725788,0.02769028078723481
Logistic Regression,Test,HybridSampling,0.5,0.7,344699,492427,1.4285710141311696,0.6985730142698573,0.02632358263959725,0.591715976331361,0.0504048136597045,0.6911572646753498,0.027465158184144967
Logistic Regression,Test,HybridSampling,0.3,0.5,206819,413638,2.0,0.6986130138698613,0.026420557365182774,0.5939349112426036,0.05059064419593637,0.6887423387299697,0.027002543083338076
Logistic Regression,Test,HybridSampling,0.2,0.3,137879,459596,3.333328498175937,0.6974330256697433,0.026318376978794533,0.5939349112426036,0.05040328908137966,0.6880485274700254,0.026924986478992097
Logistic Regression,Test,HybridSampling,0.1,0.2,68939,344695,5.0,0.6992230077699223,0.026317525229206516,0.5902366863905325,0.05038833112331881,0.6851152824661173,0.0264456851543638
Logistic Regression,Test,HybridSampling,0.05,0.1,34469,344690,10.0,0.6987730122698773,0.026184908270478573,0.5880177514792899,0.050137167723015796,0.6845006773762047,0.02631053313404977
